Code,Name,Ticker,Sector,Market,Has_6Y_Data,Has_5Y_Data,Data_Start,Data_End
5190,BENALEC HOLDINGS BERHAD,5190.KL,,Main,True,True,2018-01-02,2025-12-02
3239,BERJAYA ASSETS BERHAD,3239.KL,,Main,True,True,2018-01-02,2025-12-01
3395,BERJAYA CORPORATION BERHAD,3395.KL,,Main,True,True,2018-01-02,2025-12-02
5196,BERJAYA FOOD BERHAD,5196.KL,,Main,True,True,2018-01-02,2025-12-02
4219,BERJAYA LAND BERHAD,4219.KL,,Main,True,True,2018-01-02,2025-12-02
1562,BERJAYA SPORTS TOTO BERHAD,1562.KL,,Main,True,True,2018-01-02,2025-12-02
5248,BERMAZ AUTO BERHAD,5248.KL,,Main,True,True,2018-01-02,2025-12-02
9814,BERTAM ALLIANCE BERHAD,9814.KL,,Main,True,True,2018-01-02,2025-12-01
5258,BIMB HOLDINGS BERHAD,5258.KL,,Main,True,True,2018-01-02,2025-12-02
6173,BINA DARULAMAN BERHAD,6173.KL,,Main,True,True,2018-01-02,2025-12-02
5932,BINA PURI HOLDINGS BHD,5932.KL,,Main,True,True,2018-01-02,2025-12-02
6998,BINTAI KINDEN CORPORATION BERHAD,6998.KL,,Main,True,True,2018-01-02,2025-12-02
5032,BINTULU PORT HOLDINGS BERHAD,5032.KL,,Main,True,True,2018-01-02,2025-12-02
7243,BIO OSMO BERHAD,7243.KL,,Main,True,True,2018-01-02,2025-12-02
5069,BLD PLANTATION BHD.,5069.KL,,Main,True,True,2018-01-02,2025-12-02
0168,BOILERMECH HOLDINGS BERHAD,0168.KL,,Main,True,True,2018-01-02,2025-12-02
9288,BONIA CORPORATION BERHAD,9288.KL,,Main,True,True,2018-01-02,2025-12-01
7036,BORNEO OIL BERHAD,7036.KL,,Main,True,True,2018-01-02,2025-12-02
8133,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,8133.KL,,Main,True,True,2018-01-02,2025-12-02
6297,BOX-PAK (MALAYSIA) BERHAD,6297.KL,,Main,True,True,2018-01-02,2025-12-02
5100,BP PLASTICS HOLDING BHD,5100.KL,,Main,True,True,2018-01-02,2025-12-02
9938,BRIGHT PACKAGING INDUSTRY BERHAD,9938.KL,,Main,True,True,2018-01-02,2025-12-01
4162,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,4162.KL,,Main,True,True,2018-01-02,2025-12-02
7221,BSL CORPORATION BERHAD,7221.KL,,Main,True,True,2018-01-02,2025-12-02
7188,BTM RESOURCES BERHAD,7188.KL,,Main,True,True,2018-01-02,2025-12-01
5210,BUMI ARMADA BERHAD,5210.KL,,Main,True,True,2018-01-02,2025-12-02
1818,BURSA MALAYSIA BERHAD,1818.KL,,Main,True,True,2018-01-02,2025-12-02
2828,C.I. HOLDINGS BERHAD,2828.KL,,Main,True,True,2018-01-02,2025-12-02
7174,CAB CAKARAN CORPORATION BERHAD,7174.KL,,Main,True,True,2018-01-02,2025-12-02
7154,CAELY HOLDINGS BHD,7154.KL,,Main,True,True,2018-01-02,2025-12-02
2852,CAHYA MATA SARAWAK BERHAD,2852.KL,,Main,True,True,2018-01-02,2025-12-02
7128,CAM RESOURCES BERHAD,7128.KL,,Main,True,True,2018-01-02,2025-12-02
5105,CAN-ONE BERHAD,5105.KL,,Main,True,True,2018-01-02,2025-12-01
5180,CAPITALAND MALAYSIA MALL TRUST,5180.KL,,Main,True,True,2018-01-02,2025-12-02
5257,CARIMIN PETROLEUM BERHAD,5257.KL,,Main,True,True,2018-01-02,2025-12-02
2836,CARLSBERG BREWERY MALAYSIA BERHAD,2836.KL,,Main,True,True,2018-01-02,2025-12-02
7076,CB INDUSTRIAL PRODUCT HOLDING BERHAD,7076.KL,,Main,True,True,2018-01-02,2025-12-02
7035,CCK CONSOLIDATED HOLDINGS BERHAD,7035.KL,,Main,True,True,2018-01-02,2025-12-02
5195,CENSOF HOLDINGS BERHAD,5195.KL,,Main,True,True,2018-01-02,2025-12-02
8052,CENTRAL INDUSTRIAL CORPORATION BERHAD,8052.KL,,Main,True,True,2018-01-02,2025-12-02
8982,CEPATWAWASAN GROUP BERHAD,8982.KL,,Main,True,True,2018-01-02,2025-12-02
7209,CHEETAH HOLDINGS BERHAD,7209.KL,,Main,True,True,2018-01-02,2025-12-01
5273,CHIN HIN GROUP BERHAD,5273.KL,,Main,True,True,2018-01-02,2025-12-02
7187,CHIN HIN GROUP PROPERTY BERHAD,7187.KL,,Main,True,True,2018-01-02,2025-12-02
1929,CHIN TECK PLANTATIONS BERHAD,1929.KL,,Main,True,True,2018-01-02,2025-12-02
5007,CHIN WELL HOLDINGS BERHAD,5007.KL,,Main,True,True,2018-01-02,2025-12-02
5188,CHINA OUHUA WINERY HOLDINGS LIMITED,5188.KL,,Main,True,True,2018-01-02,2025-12-02
5797,CHOO BEE METAL INDUSTRIES BHD,5797.KL,,Main,True,True,2018-01-02,2025-12-01
7016,CHUAN HUAT RESOURCES BHD,7016.KL,,Main,True,True,2018-01-02,2025-12-01
1023,CIMB GROUP HOLDINGS BERHAD,1023.KL,,Main,True,True,2018-01-02,2025-12-02
7117,CJ CENTURY LOGISTICS HOLDINGS BERHAD,7117.KL,,Main,True,True,2018-01-02,2025-12-02
7202,CLASSIC SCENIC BERHAD,7202.KL,,Main,True,True,2018-01-02,2025-12-01
7018,CME GROUP BERHAD,7018.KL,,Main,True,True,2018-01-02,2025-12-01
7986,CN ASIA CORPORATION BHD,7986.KL,,Main,True,True,2018-01-02,2025-12-02
5104,CNI HOLDINGS BERHAD,5104.KL,,Main,True,True,2018-01-02,2025-12-01
5071,COASTAL CONTRACTS BHD,5071.KL,,Main,True,True,2018-01-02,2025-12-02
2127,COMFORT GLOVES BERHAD,2127.KL,,Main,True,True,2018-01-02,2025-12-02
7195,COMINTEL CORPORATION BHD,7195.KL,,Main,True,True,2018-01-02,2025-12-02
5136,COMPLETE LOGISTIC SERVICES BERHAD,5136.KL,,Main,True,True,2018-01-02,2025-12-01
5037,COMPUGATES HOLDINGS BERHAD,5037.KL,,Main,True,True,2018-01-02,2025-12-02
8044,COMPUTER FORMS (MALAYSIA) BERHAD,8044.KL,,Main,True,True,2018-01-02,2025-12-02
8435,CONCRETE ENGINEERING PRODUCTS BERHAD,8435.KL,,Main,True,True,2018-01-02,2025-12-01
5738,COUNTRY HEIGHTS HOLDINGS BHD,5738.KL,,Main,True,True,2018-01-02,2025-12-02
5049,COUNTRY VIEW BERHAD,5049.KL,,Main,True,True,2018-01-02,2025-12-01
6718,CRESCENDO CORPORATION BERHAD,6718.KL,,Main,True,True,2018-01-02,2025-12-02
8591,CREST BUILDER HOLDINGS BERHAD,8591.KL,,Main,True,True,2018-01-02,2025-12-02
5094,CSC STEEL HOLDINGS BERHAD,5094.KL,,Main,True,True,2018-01-02,2025-12-02
0051,CUSCAPI BERHAD,0051.KL,,Main,True,True,2018-01-02,2025-12-02
9423,CWG HOLDINGS BERHAD,9423.KL,,Main,True,True,2018-01-02,2025-12-02
7157,CYL CORPORATION BERHAD,7157.KL,,Main,True,True,2018-01-02,2025-12-01
5184,CYPARK RESOURCES BERHAD,5184.KL,,Main,True,True,2018-01-02,2025-12-02
7204,D&O GREEN TECHNOLOGIES BERHAD,7204.KL,,Main,True,True,2018-01-02,2025-12-02
7179,D.B.E. GURNEY RESOURCES BERHAD,7179.KL,,Main,True,True,2018-01-02,2025-12-02
4456,DAGANG NEXCHANGE BERHAD,4456.KL,,Main,True,True,2018-01-02,2025-12-02
8125,DAIBOCHI BERHAD,8125.KL,,Main,True,True,2018-01-02,2025-12-01
5276,DANCOMECH HOLDINGS BERHAD,5276.KL,,Main,True,True,2018-01-02,2025-12-02
8338,DATAPREP HOLDINGS BHD,8338.KL,,Main,True,True,2018-01-02,2025-12-02
5216,DATASONIC GROUP BERHAD,5216.KL,,Main,True,True,2018-01-02,2025-12-02
0091,DAYA MATERIALS BERHAD,0091.KL,,Main,True,True,2018-01-02,2025-12-02
5141,DAYANG ENTERPRISE HOLDINGS BERHAD,5141.KL,,Main,True,True,2018-01-02,2025-12-02
5132,DELEUM BERHAD,5132.KL,,Main,True,True,2018-01-02,2025-12-02
7212,DESTINI BERHAD,7212.KL,,Main,True,True,2018-01-02,2025-12-01
7277,DIALOG GROUP BERHAD,7277.KL,,Main,True,True,2018-01-02,2025-12-02
6947,DIGI.COM BERHAD,6947.KL,,Main,True,True,2018-01-02,2025-12-02
0029,DIGISTAR CORPORATION BERHAD,0029.KL,,Main,True,True,2018-01-02,2025-12-01
7528,DKLS INDUSTRIES BHD,7528.KL,,Main,True,True,2018-01-02,2025-12-02
5908,DKSH HOLDINGS (MALAYSIA) BERHAD,5908.KL,,Main,True,True,2018-01-02,2025-12-02
7114,D'NONCE TECHNOLOGY BHD,7114.KL,,Main,True,True,2018-01-02,2025-12-02
