Code,Name,Ticker,Sector
7174,CAB CAKARAN CORPORATION BERHAD,7174.KL,N/A
7154,CAELY HOLDINGS BHD,7154.KL,N/A
2852,CAHYA MATA SARAWAK BERHAD,2852.KL,N/A
7128,CAM RESOURCES BERHAD,7128.KL,N/A
5105,CAN-ONE BERHAD,5105.KL,N/A
5180,CAPITALAND MALAYSIA MALL TRUST,5180.KL,N/A
5257,CARIMIN PETROLEUM BERHAD,5257.KL,N/A
5245,CARING PHARMACY GROUP BERHAD,5245.KL,N/A
2836,CARLSBERG BREWERY MALAYSIA BERHAD,2836.KL,N/A
7076,CB INDUSTRIAL PRODUCT HOLDING BERHAD,7076.KL,N/A
7035,CCK CONSOLIDATED HOLDINGS BERHAD,7035.KL,N/A
5195,CENSOF HOLDINGS BERHAD,5195.KL,N/A
8052,CENTRAL INDUSTRIAL CORPORATION BERHAD,8052.KL,N/A
8982,CEPATWAWASAN GROUP BERHAD,8982.KL,N/A
7209,CHEETAH HOLDINGS BERHAD,7209.KL,N/A
2879,CHEMICAL COMPANY OF MALAYSIA BERHAD,2879.KL,N/A
5273,CHIN HIN GROUP BERHAD,5273.KL,N/A
7187,CHIN HIN GROUP PROPERTY BERHAD,7187.KL,N/A
1929,CHIN TECK PLANTATIONS BERHAD,1929.KL,N/A
5007,CHIN WELL HOLDINGS BERHAD,5007.KL,N/A
5229,CHINA AUTOMOBILE PARTS HOLDINGS LIMITED,5229.KL,N/A
5188,CHINA OUHUA WINERY HOLDINGS LIMITED,5188.KL,N/A
5214,CHINA STATIONERY LIMITED,5214.KL,N/A
5797,CHOO BEE METAL INDUSTRIES BHD,5797.KL,N/A
7016,CHUAN HUAT RESOURCES BHD,7016.KL,N/A
1023,CIMB GROUP HOLDINGS BERHAD,1023.KL,N/A
7117,CJ CENTURY LOGISTICS HOLDINGS BERHAD,7117.KL,N/A
7202,CLASSIC SCENIC BERHAD,7202.KL,N/A
7018,CME GROUP BERHAD,7018.KL,N/A
7986,CN ASIA CORPORATION BHD,7986.KL,N/A
5104,CNI HOLDINGS BERHAD,5104.KL,N/A
5071,COASTAL CONTRACTS BHD,5071.KL,N/A
7205,COCOALAND HOLDINGS BERHAD,7205.KL,N/A
2127,COMFORT GLOVES BERHAD,2127.KL,N/A
7195,COMINTEL CORPORATION BHD,7195.KL,N/A
5136,COMPLETE LOGISTIC SERVICES BERHAD,5136.KL,N/A
5037,COMPUGATES HOLDINGS BERHAD,5037.KL,N/A
8044,COMPUTER FORMS (MALAYSIA) BERHAD,8044.KL,N/A
8435,CONCRETE ENGINEERING PRODUCTS BERHAD,8435.KL,N/A
5738,COUNTRY HEIGHTS HOLDINGS BHD,5738.KL,N/A
5049,COUNTRY VIEW BERHAD,5049.KL,N/A
6718,CRESCENDO CORPORATION BERHAD,6718.KL,N/A
8591,CREST BUILDER HOLDINGS BERHAD,8591.KL,N/A
5094,CSC STEEL HOLDINGS BERHAD,5094.KL,N/A
0051,CUSCAPI BERHAD,0051.KL,N/A
9423,CWG HOLDINGS BERHAD,9423.KL,N/A
2925,CYCLE & CARRIAGE BINTANG BERHAD,2925.KL,N/A
7157,CYL CORPORATION BERHAD,7157.KL,N/A
5082,CYMAO HOLDINGS BERHAD,5082.KL,N/A
5184,CYPARK RESOURCES BERHAD,5184.KL,N/A
