Date,Ticker,Company_Name,Price
2018-01-02,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-01-03,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-01-04,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-01-05,7146.KL,AE MULTI HOLDINGS BERHAD,1.5499999523162842
2018-01-08,7146.KL,AE MULTI HOLDINGS BERHAD,1.5969690084457395
2018-01-09,7146.KL,AE MULTI HOLDINGS BERHAD,1.5499999523162842
2018-01-10,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-01-11,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-01-12,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-01-15,7146.KL,AE MULTI HOLDINGS BERHAD,1.5499999523162842
2018-01-16,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-01-17,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-01-18,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-01-19,7146.KL,AE MULTI HOLDINGS BERHAD,1.4560600519180298
2018-01-22,7146.KL,AE MULTI HOLDINGS BERHAD,1.4560600519180298
2018-01-23,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-01-24,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-01-25,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-01-26,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-01-29,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-01-30,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-02-02,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-02-05,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-02-06,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-02-07,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-02-08,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-02-09,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-02-12,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-02-13,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-02-14,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-02-15,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-02-16,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-02-19,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-02-20,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-02-21,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-02-22,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-02-23,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-02-26,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-02-27,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-02-28,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-03-01,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-03-02,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-03-05,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-03-06,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-03-07,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-03-08,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-03-09,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-03-12,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-03-13,7146.KL,AE MULTI HOLDINGS BERHAD,1.3621209859848022
2018-03-14,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-03-15,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-03-16,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-03-19,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-03-20,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-03-21,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-03-22,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-03-23,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-03-26,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-03-27,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-03-28,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-03-29,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-03-30,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-04-02,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-04-03,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-04-04,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-04-05,7146.KL,AE MULTI HOLDINGS BERHAD,1.1742420196533203
2018-04-06,7146.KL,AE MULTI HOLDINGS BERHAD,1.1742420196533203
2018-04-09,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-04-10,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-04-11,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-04-12,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-04-13,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-04-16,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-04-17,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-04-18,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-04-19,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-04-20,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-04-23,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-04-24,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-04-25,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-04-26,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-04-27,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-04-30,7146.KL,AE MULTI HOLDINGS BERHAD,1.3621209859848022
2018-05-02,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-05-03,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-05-04,7146.KL,AE MULTI HOLDINGS BERHAD,1.5499999523162842
2018-05-07,7146.KL,AE MULTI HOLDINGS BERHAD,1.4560600519180298
2018-05-08,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-05-14,7146.KL,AE MULTI HOLDINGS BERHAD,1.5499999523162842
2018-05-15,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-05-16,7146.KL,AE MULTI HOLDINGS BERHAD,1.6439390182495115
2018-05-17,7146.KL,AE MULTI HOLDINGS BERHAD,1.6439390182495115
2018-05-18,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-05-21,7146.KL,AE MULTI HOLDINGS BERHAD,1.5499999523162842
2018-05-22,7146.KL,AE MULTI HOLDINGS BERHAD,1.5969690084457395
2018-05-23,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-05-24,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-05-25,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-05-28,7146.KL,AE MULTI HOLDINGS BERHAD,1.4560600519180298
2018-05-30,7146.KL,AE MULTI HOLDINGS BERHAD,1.4560600519180298
2018-05-31,7146.KL,AE MULTI HOLDINGS BERHAD,1.4560600519180298
2018-06-01,7146.KL,AE MULTI HOLDINGS BERHAD,1.4560600519180298
2018-06-04,7146.KL,AE MULTI HOLDINGS BERHAD,1.4560600519180298
2018-06-05,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-06-06,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-06-07,7146.KL,AE MULTI HOLDINGS BERHAD,1.4560600519180298
2018-06-08,7146.KL,AE MULTI HOLDINGS BERHAD,1.4560600519180298
2018-06-11,7146.KL,AE MULTI HOLDINGS BERHAD,1.4560600519180298
2018-06-12,7146.KL,AE MULTI HOLDINGS BERHAD,1.4560600519180298
2018-06-13,7146.KL,AE MULTI HOLDINGS BERHAD,1.6439390182495115
2018-06-14,7146.KL,AE MULTI HOLDINGS BERHAD,1.6439390182495115
2018-06-18,7146.KL,AE MULTI HOLDINGS BERHAD,1.5969690084457395
2018-06-19,7146.KL,AE MULTI HOLDINGS BERHAD,1.5969690084457395
2018-06-20,7146.KL,AE MULTI HOLDINGS BERHAD,1.5499999523162842
2018-06-21,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-06-22,7146.KL,AE MULTI HOLDINGS BERHAD,1.5030299425125122
2018-06-25,7146.KL,AE MULTI HOLDINGS BERHAD,1.5499999523162842
2018-06-26,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-06-27,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-06-28,7146.KL,AE MULTI HOLDINGS BERHAD,1.3621209859848022
2018-06-29,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-07-02,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-07-03,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-07-04,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-07-05,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-07-06,7146.KL,AE MULTI HOLDINGS BERHAD,1.4090909957885742
2018-07-09,7146.KL,AE MULTI HOLDINGS BERHAD,1.3621209859848022
2018-07-10,7146.KL,AE MULTI HOLDINGS BERHAD,1.3621209859848022
2018-07-11,7146.KL,AE MULTI HOLDINGS BERHAD,1.3621209859848022
2018-07-12,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-07-13,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-07-16,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-07-17,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-07-18,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-07-19,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-07-20,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-07-23,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-07-24,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-07-25,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-07-26,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-07-27,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-07-30,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-07-31,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-08-01,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-08-02,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-08-03,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-08-06,7146.KL,AE MULTI HOLDINGS BERHAD,1.3151509761810305
2018-08-07,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-08-08,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-08-09,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-08-10,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-08-13,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-08-14,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-08-15,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-08-16,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-08-17,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-08-20,7146.KL,AE MULTI HOLDINGS BERHAD,1.2681809663772583
2018-08-21,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-08-23,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-08-24,7146.KL,AE MULTI HOLDINGS BERHAD,1.1742420196533203
2018-08-27,7146.KL,AE MULTI HOLDINGS BERHAD,1.1742420196533203
2018-08-28,7146.KL,AE MULTI HOLDINGS BERHAD,1.1742420196533203
2018-08-29,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-08-30,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-09-03,7146.KL,AE MULTI HOLDINGS BERHAD,1.1742420196533203
2018-09-04,7146.KL,AE MULTI HOLDINGS BERHAD,1.1742420196533203
2018-09-05,7146.KL,AE MULTI HOLDINGS BERHAD,1.1742420196533203
2018-09-06,7146.KL,AE MULTI HOLDINGS BERHAD,1.1272720098495483
2018-09-07,7146.KL,AE MULTI HOLDINGS BERHAD,1.1272720098495483
2018-09-12,7146.KL,AE MULTI HOLDINGS BERHAD,1.2212120294570925
2018-09-13,7146.KL,AE MULTI HOLDINGS BERHAD,1.1742420196533203
