Scenario,Return,Volatility,Sharpe,VaR_95
Vol Cap 10.0%,0.5027506130727547,0.10000000085735505,4.62750609105339,-0.008398980981499354
Vol Cap 20.0%,1.043186112471049,0.20000004469644742,5.015929441384113,-0.016648423230825854
Weight Cap 10.0%,1.2126750838706402,0.23756549869318466,4.936217970712774,-0.019880409878882163
Weight Cap 20.0%,1.1861222840894883,0.22816821283214953,5.023146168623522,-0.019009022077481588
Weight Cap 30.0%,1.2304678328514105,0.2368176573204838,5.026938642672063,-0.019732072927793044
Base Case (Max Sharpe),1.230335209389265,0.23679127476168835,5.026938642850093,-0.019729857002141752
Min Volatility,0.0970806818600934,0.05541116829130337,1.0301295500577283,-0.005374208780031105
