Stock Code,Company Name
0379,PMW INTERNATIONAL BERHAD
0381,POLYMER LINK HOLDINGS BERHAD
0377,POWERTECHNIC GROUP BERHAD
0217,POWERWELL HOLDINGS BERHAD
0123,PRIVASIA TECHNOLOGY BERHAD
0260,PT RESOURCES HOLDINGS BERHAD
0007,PUC BERHAD
0202,RADIANT GLOBALTECH BERHAD
0236,RAMSSOL GROUP BERHAD
0081,REKATECH CAPITAL BERHAD
0106,REXIT BERHAD
0342,RICHTECH DIGITAL BERHAD
0346,SALIRAN GROUP BERHAD
0133,SANICHI TECHNOLOGY BERHAD
0300,SBH MARINE HOLDINGS BERHAD
0109,SC ESTATE BUILDER BERHAD
0158,SCC HOLDINGS BERHAD
0028,SCOPE INDUSTRIES BERHAD
0203,SECUREMETRIC BERHAD
0178,SEDANIA INNOVATOR BERHAD
0055,SERSOL BERHAD
0251,SFP TECH HOLDINGS BERHAD
0360,SIGNATURE ALLIANCE GROUP BERHAD
0316,SIK CHEONG BERHAD
0129,SILVER RIDGE HOLDINGS BHD
0305,SIN-KUNG LOGISTICS BERHAD
0306,SMART ASIA CHEMICAL BHD
0117,SMRT HOLDINGS BERHAD
0169,SMTRACK BERHAD
0321,SOLAR DISTRICT COOLING GROUP BERHAD
0093,SOLUTION GROUP BERHAD
0326,SORENTO CAPITAL BERHAD
0045,SOUTHERN SCORE BUILDERS BERHAD
0216,SPRING ART HOLDINGS BERHAD
0287,SSF HOME GROUP BERHAD
0320,STEEL HAWK BERHAD
0080,STRAITS ENERGY RESOURCES BERHAD
0349,SUMISAUJANA GROUP BERHAD
0262,SUNVIEW GROUP BERHAD
0148,SUNZEN BIOTECH BERHAD
0330,SUPREME CONSOLIDATED RESOURCES BHD
0337,SWIFT ENERGY TECHNOLOGY BERHAD
0279,SYNERGY HOUSE BERHAD
0050,SYSTECH BHD
0241,TAGHILL HOLDINGS BERHAD
0211,TASHIN HOLDINGS BERHAD
0221,TCS GROUP HOLDINGS BERHAD
0132,TECHNODEX BHD
0343,TECHSTORE BERHAD
0089,TEX CYCLE TECHNOLOGY (M) BERHAD
0145,TFP SOLUTIONS BERHAD
0375,THMY HOLDINGS BERHAD
0302,TOPMIX BERHAD
0332,TOPVISION EYE SPECIALIST BERHAD
0199,TRI-MODE SYSTEM (M) BERHAD
0297,TSA GROUP BERHAD
0272,TT VISION HOLDINGS BERHAD
0005,UCREST BERHAD
0247,UNITRADE INDUSTRIES BERHAD
0310,UUE HOLDINGS BERHAD
0333,VANZO HOLDINGS BERHAD
0373,VERDANT SOLAR HOLDINGS BERHAD
0273,VESTLAND BERHAD
0319,VETECE HOLDINGS BERHAD
0069,VINVEST CAPITAL HOLDINGS BERHAD
0120,VISDYNAMICS HOLDINGS BERHAD
0232,VOLCANO BERHAD
0066,VSOLAR GROUP BERHAD
0102,WAJA KONSORTIUM BERHAD
0347,WAWASAN DENGKIL HOLDINGS BERHAD
0271,WELLSPIRE HOLDINGS BERHAD
0298,WENTEL ENGINEERING HOLDINGS BERHAD
0353,WEST RIVER BERHAD
0162,WIDAD GROUP BERHAD
0336,WINSTAR CAPITAL BERHAD
0352,WTEC GROUP BERHAD
0165,XOX BHD
0140,XOX NETWORKS BERHAD
0017,XOX TECHNOLOGY BERHAD
0025,YBS INTERNATIONAL BERHAD
0248,YEW LEE PACIFIC GROUP BERHAD
0086,YGL CONVERGENCE BERHAD
0301,ZANTAT HOLDINGS BERHAD
0094,ZEN TECH INTERNATIONAL BERHAD
